# Active Comparator sample data v0.1
# nodes: 1000
# offer rows: 5000
node_id	item	seller	status	posted	title	ask_price	min_bid	location	quality	availability	condition	risk	cvu
ACT0004_CITRUS	ACT0004-03	Budget Direct	Available	19d	Citrus Offer 3	4220	3899	National	58	73	Good	Medium	54
ACT0004_CITRUS	ACT0004-04	Red Deer Market	Limited	20d	Citrus Offer 4	501	446	Calgary Region	77	76	Excellent	Low	75
ACT0004_CITRUS	ACT0004-05	Prairie Value Co.	Posted	19d	Citrus Offer 5	6892	6386	National	66	68	Unknown	Low	57
ACT0005_GRAPES	ACT0005-01	Verified Local	Limited	7d	Grapes Offer 1	5592	5261	Edmonton Region	73	100	Fair	Medium	60
ACT0005_GRAPES	ACT0005-02	Prairie Value Co.	Limited	16d	Grapes Offer 2	2378	2239	Municipal	87	79	Good	High	61
ACT0005_GRAPES	ACT0005-03	Verified Local	Posted	4d	Grapes Offer 3	702	670	National	53	91	Excellent	Unknown	63
ACT0005_GRAPES	ACT0005-04	Central Listings	FS	2d	Grapes Offer 4	7278	6469	Edmonton Region	65	79	Unknown	Low	54
ACT0005_GRAPES	ACT0005-05	Open Offer Ltd.	Posted	7d	Grapes Offer 5	6255	5519	National	48	60	New	Low	51
ACT0006_MELONS	ACT0006-01	Regional Exchange	Limited	11d	Melons Offer 1	7953	6655	Online	48	51	Fair	Unknown	35
ACT0006_MELONS	ACT0006-02	Open Offer Ltd.	FS	19d	Melons Offer 2	4931	4067	National	90	40	Excellent	Unknown	48
ACT0006_MELONS	ACT0006-03	Central Listings	Watch	20d	Melons Offer 3	3646	3012	Calgary Region	75	45	Excellent	Unknown	54
ACT0006_MELONS	ACT0006-04	Verified Local	FS	13d	Melons Offer 4	641	591	Calgary Region	78	98	Fair	Low	80
ACT0006_MELONS	ACT0006-05	Atlas Services	Watch	6d	Melons Offer 5	2837	2332	Online	53	67	Fair	Low	56
ACT0007_PEARS	ACT0007-01	Budget Direct	Limited	10d	Pears Offer 1	3053	2911	Springbrook	67	37	New	High	37
ACT0007_PEARS	ACT0007-02	Atlas Services	Limited	21d	Pears Offer 2	6229	5441	Municipal	71	51	New	Low	55
ACT0007_PEARS	ACT0007-03	Prairie Value Co.	Available	11d	Pears Offer 3	468	411	Calgary Region	83	95	Good	Low	83
ACT0007_PEARS	ACT0007-04	Budget Direct	Watch	7d	Pears Offer 4	163	136	Edmonton Region	77	45	New	Unknown	55
ACT0007_PEARS	ACT0007-05	Regional Exchange	Available	7d	Pears Offer 5	7363	6051	Springbrook	90	50	Unknown	High	42
ACT0008_STONE_FRUIT	ACT0008-01	Central Listings	Posted	14d	Stone Fruit Offer 1	6722	6257	Red Deer	66	52	Fair	Medium	45
ACT0008_STONE_FRUIT	ACT0008-02	Verified Local	Limited	18d	Stone Fruit Offer 2	697	651	National	51	37	Good	Low	57
ACT0008_STONE_FRUIT	ACT0008-03	Prairie Value Co.	Limited	2d	Stone Fruit Offer 3	8216	6789	Edmonton Region	71	95	New	Medium	50
ACT0008_STONE_FRUIT	ACT0008-04	Prairie Value Co.	Posted	3d	Stone Fruit Offer 4	5172	4483	Springbrook	64	84	Excellent	Low	66
ACT0008_STONE_FRUIT	ACT0008-05	Verified Local	Limited	4d	Stone Fruit Offer 5	6628	5685	National	63	35	Good	High	35
ACT0992_ORGANIC_FRUIT_BOX	ACT0992-01	Open Offer Ltd.	Available	11d	Organic Fruit Box Offer 1	6178	5519	Central Alberta	57	67	Fair	Unknown	42
ACT0992_ORGANIC_FRUIT_BOX	ACT0992-02	Open Offer Ltd.	Watch	1d	Organic Fruit Box Offer 2	5596	5015	Red Deer	72	61	Good	Unknown	46
ACT0992_ORGANIC_FRUIT_BOX	ACT0992-03	Regional Exchange	Posted	14d	Organic Fruit Box Offer 3	4425	4176	Springbrook	80	80	Excellent	Low	64
ACT0992_ORGANIC_FRUIT_BOX	ACT0992-04	Prairie Value Co.	Posted	15d	Organic Fruit Box Offer 4	954	845	Municipal	50	89	Good	Medium	56
ACT0992_ORGANIC_FRUIT_BOX	ACT0992-05	Prairie Value Co.	FS	5d	Organic Fruit Box Offer 5	6624	6188	National	88	87	Excellent	Low	68
ACT0993_LOCAL_ORCHARD	ACT0993-01	Open Offer Ltd.	Watch	5d	Local Orchard Offer 1	5788	4972	Red Deer	56	39	Good	High	35
ACT0993_LOCAL_ORCHARD	ACT0993-02	Central Listings	Available	9d	Local Orchard Offer 2	5705	4869	Municipal	64	40	Excellent	Unknown	40
ACT0993_LOCAL_ORCHARD	ACT0993-03	Regional Exchange	Limited	5d	Local Orchard Offer 3	2714	2306	Calgary Region	93	60	New	Low	71
ACT0993_LOCAL_ORCHARD	ACT0993-04	Budget Direct	Posted	15d	Local Orchard Offer 4	7529	6435	Municipal	80	80	Excellent	High	49
ACT0993_LOCAL_ORCHARD	ACT0993-05	North Star Supply	Limited	19d	Local Orchard Offer 5	3666	3448	National	78	54	New	Medium	58
ACT0994_BULK_APPLES	ACT0994-01	North Star Supply	Watch	17d	Bulk Apples Offer 1	6279	5680	Red Deer	64	46	Fair	Unknown	44
ACT0994_BULK_APPLES	ACT0994-02	Atlas Services	Limited	11d	Bulk Apples Offer 2	3500	3151	Municipal	53	43	Good	Unknown	45
ACT0994_BULK_APPLES	ACT0994-03	Atlas Services	Watch	3d	Bulk Apples Offer 3	4799	4179	Edmonton Region	74	39	Good	Unknown	50
ACT0994_BULK_APPLES	ACT0994-04	Quality Source	Watch	15d	Bulk Apples Offer 4	7052	5846	Municipal	78	50	Unknown	Low	54
ACT0994_BULK_APPLES	ACT0994-05	Quality Source	Posted	7d	Bulk Apples Offer 5	4300	4127	Municipal	87	90	Excellent	Medium	65
ACT0995_FROZEN_BERRIES	ACT0995-01	Verified Local	Limited	9d	Frozen Berries Offer 1	2076	1992	Red Deer	58	88	Unknown	Low	63
ACT0995_FROZEN_BERRIES	ACT0995-02	Atlas Services	Watch	17d	Frozen Berries Offer 2	7287	6053	Calgary Region	84	49	New	High	35
ACT0995_FROZEN_BERRIES	ACT0995-03	Open Offer Ltd.	Posted	17d	Frozen Berries Offer 3	7738	6395	National	63	81	New	Unknown	44
ACT0995_FROZEN_BERRIES	ACT0995-04	Quality Source	Posted	1d	Frozen Berries Offer 4	7996	6729	Edmonton Region	68	84	Unknown	Unknown	49
ACT0995_FROZEN_BERRIES	ACT0995-05	Regional Exchange	Watch	9d	Frozen Berries Offer 5	6778	5587	Online	79	48	Fair	High	35
ACT0996_FRUIT_DELIVERY	ACT0996-01	North Star Supply	FS	19d	Fruit Delivery Offer 1	1364	1167	Calgary Region	53	84	Good	Unknown	62
ACT0996_FRUIT_DELIVERY	ACT0996-02	Open Offer Ltd.	FS	10d	Fruit Delivery Offer 2	5675	4667	National	77	97	New	Medium	65
ACT0996_FRUIT_DELIVERY	ACT0996-03	Quality Source	Watch	6d	Fruit Delivery Offer 3	1900	1707	Online	76	55	Unknown	High	51
ACT0996_FRUIT_DELIVERY	ACT0996-04	Red Deer Market	Watch	19d	Fruit Delivery Offer 4	6517	6188	Edmonton Region	58	69	Excellent	Unknown	46
ACT0996_FRUIT_DELIVERY	ACT0996-05	Verified Local	FS	0d	Fruit Delivery Offer 5	643	537	Online	76	77	New	Medium	63
ACT0997_SEASONAL_FRUIT	ACT0997-01	Prairie Value Co.	Posted	14d	Seasonal Fruit Offer 1	8211	7166	National	92	36	Fair	Medium	43
ACT0997_SEASONAL_FRUIT	ACT0997-02	Central Listings	Limited	19d	Seasonal Fruit Offer 2	6566	5950	Springbrook	84	79	Excellent	Low	70
ACT0997_SEASONAL_FRUIT	ACT0997-03	Quality Source	Posted	8d	Seasonal Fruit Offer 3	1731	1620	Edmonton Region	59	73	New	Medium	52
ACT0997_SEASONAL_FRUIT	ACT0997-04	Central Listings	Limited	18d	Seasonal Fruit Offer 4	6563	5552	Calgary Region	50	35	Good	Medium	36
ACT0997_SEASONAL_FRUIT	ACT0997-05	Budget Direct	Watch	15d	Seasonal Fruit Offer 5	35	30	Springbrook	51	58	Good	Unknown	56
ACT0998_IMPORTED_FRUIT	ACT0998-01	Budget Direct	Posted	11d	Imported Fruit Offer 1	4536	4065	Online	47	59	Excellent	Medium	42
ACT0998_IMPORTED_FRUIT	ACT0998-02	Verified Local	Posted	12d	Imported Fruit Offer 2	1500	1367	Municipal	91	37	New	Medium	61
ACT0998_IMPORTED_FRUIT	ACT0998-03	North Star Supply	Available	18d	Imported Fruit Offer 3	7288	6028	Online	54	99	Excellent	Unknown	45
ACT0998_IMPORTED_FRUIT	ACT0998-04	Red Deer Market	Limited	15d	Imported Fruit Offer 4	948	805	National	91	92	Fair	Low	88
ACT0998_IMPORTED_FRUIT	ACT0998-05	Quality Source	Watch	19d	Imported Fruit Offer 5	808	713	Online	91	62	New	Low	75
ACT0999_DISCOUNT_PRODUCE	ACT0999-01	Quality Source	Posted	6d	Discount Produce Offer 1	5054	4710	Provincial	56	42	New	High	35
ACT0999_DISCOUNT_PRODUCE	ACT0999-02	North Star Supply	Posted	21d	Discount Produce Offer 2	7782	6929	Red Deer	57	63	Good	Low	54
ACT0999_DISCOUNT_PRODUCE	ACT0999-03	Open Offer Ltd.	Watch	3d	Discount Produce Offer 3	609	558	Central Alberta	45	43	Excellent	Unknown	42
ACT0999_DISCOUNT_PRODUCE	ACT0999-04	Red Deer Market	Posted	10d	Discount Produce Offer 4	7895	6820	National	46	83	Good	Medium	42
ACT0999_DISCOUNT_PRODUCE	ACT0999-05	Verified Local	FS	21d	Discount Produce Offer 5	3822	3580	National	45	72	Excellent	High	43
ACT1000_PREMIUM_PRODUCE	ACT1000-01	Atlas Services	Watch	18d	Premium Produce Offer 1	2647	2191	Online	53	100	Fair	High	46
ACT1000_PREMIUM_PRODUCE	ACT1000-02	Budget Direct	Limited	2d	Premium Produce Offer 2	4381	4018	Central Alberta	85	46	Unknown	Unknown	52
ACT1000_PREMIUM_PRODUCE	ACT1000-03	North Star Supply	Limited	1d	Premium Produce Offer 3	1699	1481	Central Alberta	77	71	Fair	Medium	66
ACT1000_PREMIUM_PRODUCE	ACT1000-04	Verified Local	Watch	18d	Premium Produce Offer 4	7179	5970	Central Alberta	68	55	New	Unknown	44
ACT1000_PREMIUM_PRODUCE	ACT1000-05	Regional Exchange	Watch	10d	Premium Produce Offer 5	2730	2264	Springbrook	56	57	Fair	Unknown	51
ACT0018_VEGETABLES	ACT0018-01	North Star Supply	Posted	20d	Vegetables Offer 1	945	790	National	72	64	New	Unknown	57
ACT0018_VEGETABLES	ACT0018-02	Atlas Services	Limited	5d	Vegetables Offer 2	598	562	Online	56	54	Unknown	Unknown	48
ACT0018_VEGETABLES	ACT0018-03	Red Deer Market	Watch	20d	Vegetables Offer 3	762	702	Springbrook	71	94	Fair	High	63
ACT0018_VEGETABLES	ACT0018-04	Open Offer Ltd.	Posted	18d	Vegetables Offer 4	401	368	Central Alberta	51	90	Fair	Low	74
ACT0018_VEGETABLES	ACT0018-05	Open Offer Ltd.	Posted	18d	Vegetables Offer 5	6599	5574	Springbrook	83	67	Unknown	Low	58
ACT0010_TUBERS	ACT0010-01	Budget Direct	Available	5d	Tubers Offer 1	7956	6618	Red Deer	64	86	Unknown	High	43
ACT0010_TUBERS	ACT0010-02	Budget Direct	Posted	20d	Tubers Offer 2	1026	943	Central Alberta	90	68	Excellent	Medium	71
ACT0010_TUBERS	ACT0010-03	Red Deer Market	Posted	9d	Tubers Offer 3	3864	3589	National	63	97	Unknown	Medium	59
ACT0010_TUBERS	ACT0010-04	Quality Source	Available	7d	Tubers Offer 4	1420	1264	Online	47	76	Fair	Medium	51
ACT0010_TUBERS	ACT0010-05	Central Listings	Watch	2d	Tubers Offer 5	3698	3373	Red Deer	66	51	Good	Unknown	49
ACT0011_LEAFY_GREENS	ACT0011-01	Quality Source	Watch	7d	Leafy Greens Offer 1	6729	5881	Online	88	79	Unknown	Low	68
ACT0011_LEAFY_GREENS	ACT0011-02	Open Offer Ltd.	Available	0d	Leafy Greens Offer 2	3343	3083	Municipal	88	94	New	Medium	73
ACT0011_LEAFY_GREENS	ACT0011-03	Red Deer Market	Watch	19d	Leafy Greens Offer 3	7740	6508	Springbrook	53	87	Good	Medium	42
ACT0011_LEAFY_GREENS	ACT0011-04	Quality Source	Watch	10d	Leafy Greens Offer 4	7256	6938	Municipal	56	43	Excellent	Low	46
ACT0011_LEAFY_GREENS	ACT0011-05	Open Offer Ltd.	FS	8d	Leafy Greens Offer 5	3469	2891	Provincial	95	76	New	Medium	61
ACT0012_ROOTS	ACT0012-01	Budget Direct	Watch	17d	Roots Offer 1	4810	4038	Calgary Region	72	68	Excellent	Medium	57
ACT0012_ROOTS	ACT0012-02	North Star Supply	Available	4d	Roots Offer 2	1583	1506	Central Alberta	81	73	Excellent	Unknown	59
ACT0012_ROOTS	ACT0012-03	Regional Exchange	Available	12d	Roots Offer 3	7291	6440	National	92	60	Fair	Low	63
ACT0012_ROOTS	ACT0012-04	Red Deer Market	Limited	2d	Roots Offer 4	1260	1207	Central Alberta	65	48	Excellent	Low	61
ACT0012_ROOTS	ACT0012-05	Verified Local	Watch	18d	Roots Offer 5	2669	2476	Red Deer	94	54	Excellent	Low	75
ACT0013_PEPPERS	ACT0013-01	Regional Exchange	Available	20d	Peppers Offer 1	7532	6780	Online	93	38	Fair	Medium	45
ACT0013_PEPPERS	ACT0013-02	Open Offer Ltd.	Watch	10d	Peppers Offer 2	1520	1339	Red Deer	86	76	Unknown	Medium	63
ACT0013_PEPPERS	ACT0013-03	Regional Exchange	Watch	10d	Peppers Offer 3	4442	3653	Edmonton Region	57	49	Fair	Medium	38
ACT0013_PEPPERS	ACT0013-04	North Star Supply	Watch	6d	Peppers Offer 4	7813	6731	Central Alberta	73	44	Excellent	Low	54
ACT0013_PEPPERS	ACT0013-05	Regional Exchange	Posted	4d	Peppers Offer 5	376	349	Municipal	80	80	Fair	High	61
ACT0014_ONIONS	ACT0014-01	Verified Local	Posted	9d	Onions Offer 1	748	698	Municipal	84	67	New	Low	71
ACT0014_ONIONS	ACT0014-02	Red Deer Market	Posted	18d	Onions Offer 2	669	608	Provincial	56	67	New	Unknown	53
ACT0014_ONIONS	ACT0014-03	Regional Exchange	Posted	11d	Onions Offer 3	2207	1930	Red Deer	65	60	Unknown	Low	61
ACT0014_ONIONS	ACT0014-04	Central Listings	FS	7d	Onions Offer 4	147	135	Calgary Region	72	97	Good	Medium	69
ACT0014_ONIONS	ACT0014-05	Prairie Value Co.	Available	3d	Onions Offer 5	2536	2331	Red Deer	45	84	Excellent	Low	66
ACT0015_MUSHROOMS	ACT0015-01	North Star Supply	Limited	14d	Mushrooms Offer 1	1139	1028	Springbrook	52	100	Unknown	Medium	60
ACT0015_MUSHROOMS	ACT0015-02	Verified Local	Available	5d	Mushrooms Offer 2	5512	4772	Calgary Region	94	57	Excellent	Unknown	59
ACT0015_MUSHROOMS	ACT0015-03	Verified Local	Available	3d	Mushrooms Offer 3	2430	2105	Edmonton Region	67	98	Unknown	High	57
ACT0015_MUSHROOMS	ACT0015-04	Atlas Services	Available	8d	Mushrooms Offer 4	1193	1089	Online	69	65	Good	Medium	61
ACT0015_MUSHROOMS	ACT0015-05	Prairie Value Co.	Available	15d	Mushrooms Offer 5	7398	7091	Central Alberta	87	100	Fair	Unknown	61
ACT0016_TOMATOES	ACT0016-01	Red Deer Market	FS	16d	Tomatoes Offer 1	5136	4287	Municipal	74	52	New	Low	62
ACT0016_TOMATOES	ACT0016-02	Prairie Value Co.	FS	18d	Tomatoes Offer 2	4565	4329	Municipal	49	96	New	Medium	52
ACT0016_TOMATOES	ACT0016-03	Atlas Services	Available	17d	Tomatoes Offer 3	810	732	National	55	98	New	Unknown	60
ACT0016_TOMATOES	ACT0016-04	Prairie Value Co.	Watch	19d	Tomatoes Offer 4	5504	4809	Calgary Region	93	92	New	High	56
ACT0016_TOMATOES	ACT0016-05	Central Listings	FS	12d	Tomatoes Offer 5	2293	2158	Calgary Region	63	45	Excellent	High	43
ACT0017_FROZEN_VEGETABLES	ACT0017-01	Central Listings	Limited	16d	Frozen Vegetables Offer 1	8224	7525	Municipal	91	68	Good	High	46
ACT0017_FROZEN_VEGETABLES	ACT0017-02	Atlas Services	Posted	13d	Frozen Vegetables Offer 2	936	821	Online	69	38	Unknown	Unknown	52
ACT0017_FROZEN_VEGETABLES	ACT0017-03	Central Listings	FS	16d	Frozen Vegetables Offer 3	8032	7179	Red Deer	63	66	Unknown	High	35
ACT0017_FROZEN_VEGETABLES	ACT0017-04	Quality Source	Watch	1d	Frozen Vegetables Offer 4	8145	7806	National	70	49	Unknown	Unknown	42
ACT0017_FROZEN_VEGETABLES	ACT0017-05	Open Offer Ltd.	Posted	1d	Frozen Vegetables Offer 5	6923	5847	Municipal	59	47	Unknown	Low	51
ACT0027_MEAT_PROTEIN	ACT0027-01	Prairie Value Co.	FS	16d	Meat / Protein Offer 1	6893	5918	Provincial	45	97	Unknown	Low	56
ACT0027_MEAT_PROTEIN	ACT0027-02	Open Offer Ltd.	Watch	9d	Meat / Protein Offer 2	7731	6579	Municipal	80	68	Fair	Medium	54
ACT0027_MEAT_PROTEIN	ACT0027-03	North Star Supply	Limited	15d	Meat / Protein Offer 3	3332	3180	Edmonton Region	82	39	Good	Medium	52
ACT0027_MEAT_PROTEIN	ACT0027-04	Prairie Value Co.	Limited	9d	Meat / Protein Offer 4	3688	3247	National	59	72	Fair	Unknown	52
ACT0027_MEAT_PROTEIN	ACT0027-05	Regional Exchange	Limited	9d	Meat / Protein Offer 5	2651	2188	Provincial	86	63	Fair	High	48
ACT0019_BEEF	ACT0019-01	Verified Local	FS	18d	Beef Offer 1	6513	5711	Online	65	72	Unknown	High	45
ACT0019_BEEF	ACT0019-02	Budget Direct	Posted	18d	Beef Offer 2	8410	7149	Municipal	78	57	New	Unknown	42
ACT0019_BEEF	ACT0019-03	Quality Source	Available	21d	Beef Offer 3	2848	2367	Springbrook	71	67	Unknown	Medium	52
ACT0019_BEEF	ACT0019-04	Open Offer Ltd.	Posted	5d	Beef Offer 4	4360	4063	Municipal	56	48	Unknown	Low	50
ACT0019_BEEF	ACT0019-05	Atlas Services	Limited	19d	Beef Offer 5	816	747	Calgary Region	94	38	Fair	Low	76
ACT0020_POULTRY	ACT0020-01	North Star Supply	Posted	21d	Poultry Offer 1	2073	1761	National	67	37	Unknown	Unknown	49
ACT0020_POULTRY	ACT0020-02	Regional Exchange	FS	9d	Poultry Offer 2	2908	2488	Municipal	52	82	Unknown	Low	58
ACT0020_POULTRY	ACT0020-03	Verified Local	Posted	19d	Poultry Offer 3	8115	7413	Red Deer	73	60	Fair	Medium	41
ACT0020_POULTRY	ACT0020-04	Budget Direct	Posted	18d	Poultry Offer 4	3383	2934	Provincial	89	59	Fair	Medium	55
ACT0020_POULTRY	ACT0020-05	Open Offer Ltd.	Watch	14d	Poultry Offer 5	2197	1911	Provincial	54	74	Good	Unknown	57
ACT0021_PORK	ACT0021-01	Verified Local	Limited	13d	Pork Offer 1	7518	6944	National	65	83	Fair	Medium	47
ACT0021_PORK	ACT0021-02	Atlas Services	FS	11d	Pork Offer 2	6817	5614	National	55	41	Good	Medium	37
ACT0021_PORK	ACT0021-03	Atlas Services	Posted	12d	Pork Offer 3	2863	2679	Online	86	46	Good	High	43
ACT0021_PORK	ACT0021-04	Open Offer Ltd.	Limited	1d	Pork Offer 4	4005	3737	Central Alberta	89	46	Good	Low	65
ACT0021_PORK	ACT0021-05	Budget Direct	Available	17d	Pork Offer 5	4879	4089	National	87	64	New	Medium	55
ACT0022_SEAFOOD	ACT0022-01	North Star Supply	Available	19d	Seafood Offer 1	3328	3031	Central Alberta	50	54	Fair	High	36
ACT0022_SEAFOOD	ACT0022-02	Quality Source	Available	12d	Seafood Offer 2	914	817	Springbrook	50	51	Excellent	Medium	52
ACT0022_SEAFOOD	ACT0022-03	Regional Exchange	Posted	11d	Seafood Offer 3	4909	4306	Online	55	50	Good	Unknown	44
ACT0022_SEAFOOD	ACT0022-04	Prairie Value Co.	Available	4d	Seafood Offer 4	4105	3449	Municipal	63	39	New	Unknown	43
ACT0022_SEAFOOD	ACT0022-05	Quality Source	FS	4d	Seafood Offer 5	7712	6775	Red Deer	92	94	Good	Low	71
ACT0023_EGGS	ACT0023-01	Verified Local	Available	18d	Eggs Offer 1	5753	5007	Calgary Region	46	54	Unknown	Low	49
ACT0023_EGGS	ACT0023-02	Regional Exchange	Posted	19d	Eggs Offer 2	8125	7653	Central Alberta	59	58	Fair	Medium	39
ACT0023_EGGS	ACT0023-03	Quality Source	Limited	6d	Eggs Offer 3	2590	2255	Provincial	48	62	Fair	Unknown	46
ACT0023_EGGS	ACT0023-04	Open Offer Ltd.	Watch	6d	Eggs Offer 4	4224	3715	Municipal	70	98	Unknown	Medium	62
ACT0023_EGGS	ACT0023-05	Budget Direct	Watch	10d	Eggs Offer 5	5930	5577	Edmonton Region	73	63	Unknown	High	37
ACT0024_BEANS	ACT0024-01	Prairie Value Co.	Limited	17d	Beans Offer 1	4410	4065	Online	85	91	Fair	Low	74
ACT0024_BEANS	ACT0024-02	Budget Direct	FS	18d	Beans Offer 2	413	361	Provincial	81	50	New	Medium	65
ACT0024_BEANS	ACT0024-03	Central Listings	Watch	0d	Beans Offer 3	6802	6254	National	96	48	Excellent	Low	64
ACT0024_BEANS	ACT0024-04	Open Offer Ltd.	Available	15d	Beans Offer 4	8277	7585	Springbrook	96	83	Good	Medium	55
ACT0024_BEANS	ACT0024-05	Quality Source	Available	13d	Beans Offer 5	5234	4744	Edmonton Region	56	45	Excellent	Unknown	40
ACT0025_TOFU	ACT0025-01	Red Deer Market	Available	20d	Tofu Offer 1	6739	6147	National	93	71	Unknown	Unknown	56
ACT0025_TOFU	ACT0025-02	Atlas Services	Watch	19d	Tofu Offer 2	4468	4234	National	89	76	Fair	Medium	57
ACT0025_TOFU	ACT0025-03	Red Deer Market	Posted	9d	Tofu Offer 3	3206	2999	Calgary Region	65	79	Excellent	Low	68
ACT0025_TOFU	ACT0025-04	Open Offer Ltd.	Limited	7d	Tofu Offer 4	7399	6782	Springbrook	51	41	New	Unknown	35
ACT0025_TOFU	ACT0025-05	Prairie Value Co.	Posted	21d	Tofu Offer 5	7483	6555	Provincial	86	72	Fair	Medium	49
ACT0026_PREPARED_PROTEIN	ACT0026-01	Red Deer Market	Watch	14d	Prepared Protein Offer 1	2994	2500	Municipal	50	96	Good	Medium	56
ACT0026_PREPARED_PROTEIN	ACT0026-02	Open Offer Ltd.	Watch	10d	Prepared Protein Offer 2	176	158	Online	90	88	Excellent	Low	84
ACT0026_PREPARED_PROTEIN	ACT0026-03	Regional Exchange	Posted	0d	Prepared Protein Offer 3	3975	3435	Provincial	80	72	Fair	Medium	59
ACT0026_PREPARED_PROTEIN	ACT0026-04	Central Listings	Available	12d	Prepared Protein Offer 4	7103	5917	Edmonton Region	69	48	Fair	Medium	42
