# sample_data_code: SD_HUM_PER-MUN_SHEL_OWN_HOME_BULK_v002
# label: Bulk Personal/Municipal Shelter Ownership Options
item	status	type	price	down	monthly	location	fees	condition	risk	cvu
076	Available	Modular	152000	30400	827	Lacombe	none	good	low	88
077	Available	House	230500	46100	1254	Blackfalds	condo fees	fair	medium	87
078	Available	Land	84000	16800	457	Innisfail	lot rent	unknown	medium	79
079	Available	Townhouse	237500	47500	1292	Calgary Region	taxes	excellent	high	76
080	Watch	Condo	116000	23200	631	Edmonton Region	none	good	low	80
081	Available	Modular	169500	33900	922	Red Deer	condo fees	fair	medium	80
082	Available	House	248000	49600	1349	Springbrook	lot rent	unknown	medium	79
083	Available	Land	101500	20300	552	Penhold	taxes	excellent	high	84
084	Available	Townhouse	255000	51000	1387	Sylvan Lake	none	good	low	80
085	Available	Condo	133500	26700	726	Lacombe	condo fees	fair	medium	85
086	Available	Modular	187000	37400	1017	Blackfalds	lot rent	unknown	medium	84
087	Available	House	265500	53100	1444	Innisfail	taxes	excellent	high	83
088	Available	Land	119000	23800	647	Calgary Region	none	good	low	88
089	Available	Townhouse	272500	54500	1482	Edmonton Region	condo fees	fair	medium	85
090	Watch	Condo	151000	30200	821	Red Deer	lot rent	unknown	medium	89
091	Available	Modular	204500	40900	1112	Springbrook	taxes	excellent	high	76
092	Available	House	283000	56600	1540	Penhold	none	good	low	74
093	Available	Land	136500	27300	743	Sylvan Lake	condo fees	fair	medium	80
094	Available	Townhouse	290000	58000	1578	Lacombe	lot rent	unknown	medium	76
095	Available	Condo	168500	33700	917	Blackfalds	taxes	excellent	high	81
096	Available	Modular	222000	44400	1208	Innisfail	none	good	low	80
097	Available	House	300500	60100	1635	Calgary Region	condo fees	fair	medium	79
098	Available	Land	154000	30800	838	Edmonton Region	lot rent	unknown	medium	84
099	Available	Townhouse	307500	61500	1673	Red Deer	taxes	excellent	high	81
100	Watch	Condo	186000	37200	1012	Springbrook	none	good	low	85
101	Available	Modular	239500	47900	1303	Penhold	condo fees	fair	medium	85
102	Available	House	318000	63600	1730	Sylvan Lake	lot rent	unknown	medium	83
103	Available	Land	171500	34300	933	Lacombe	taxes	excellent	high	89
104	Available	Townhouse	325000	65000	1768	Blackfalds	none	good	low	72
105	Available	Condo	203500	40700	1107	Innisfail	condo fees	fair	medium	77
106	Available	Modular	257000	51400	1398	Calgary Region	lot rent	unknown	medium	76
107	Available	House	335500	67100	1825	Edmonton Region	taxes	excellent	high	75
108	Available	Land	189000	37800	1028	Red Deer	none	good	low	80
109	Available	Townhouse	342500	68500	1863	Springbrook	condo fees	fair	medium	77
110	Watch	Condo	221000	44200	1202	Penhold	lot rent	unknown	medium	81
111	Available	Modular	145000	29000	789	Sylvan Lake	taxes	excellent	high	85
112	Available	House	223500	44700	1216	Lacombe	none	good	low	83
113	Available	Land	77000	15400	419	Blackfalds	condo fees	fair	medium	89
114	Available	Townhouse	230500	46100	1254	Innisfail	lot rent	unknown	medium	85
115	Available	Condo	109000	21800	593	Calgary Region	taxes	excellent	high	90
116	Available	Modular	162500	32500	884	Edmonton Region	none	good	low	89
117	Available	House	241000	48200	1311	Red Deer	condo fees	fair	medium	75
118	Available	Land	94500	18900	514	Springbrook	lot rent	unknown	medium	80
119	Available	Townhouse	248000	49600	1349	Penhold	taxes	excellent	high	77
120	Watch	Condo	126500	25300	688	Sylvan Lake	none	good	low	81
121	Available	Modular	180000	36000	979	Lacombe	condo fees	fair	medium	81
122	Available	House	258500	51700	1406	Blackfalds	lot rent	unknown	medium	79
123	Available	Land	112000	22400	609	Innisfail	taxes	excellent	high	85
124	Available	Townhouse	265500	53100	1444	Calgary Region	none	good	low	81
125	Available	Condo	144000	28800	783	Edmonton Region	condo fees	fair	medium	86
126	Available	Modular	197500	39500	1074	Red Deer	lot rent	unknown	medium	85
127	Available	House	276000	55200	1501	Springbrook	taxes	excellent	high	84
128	Available	Land	129500	25900	704	Penhold	none	good	low	89
129	Available	Townhouse	283000	56600	1540	Sylvan Lake	condo fees	fair	medium	85
130	Watch	Condo	161500	32300	879	Lacombe	lot rent	unknown	medium	77
131	Available	Modular	215000	43000	1170	Blackfalds	taxes	excellent	high	76
132	Available	House	293500	58700	1597	Innisfail	none	good	low	75
133	Available	Land	147000	29400	800	Calgary Region	condo fees	fair	medium	81
134	Available	Townhouse	300500	60100	1635	Edmonton Region	lot rent	unknown	medium	77
135	Available	Condo	179000	35800	974	Red Deer	taxes	excellent	high	82
136	Available	Modular	232500	46500	1265	Springbrook	none	good	low	81
137	Available	House	311000	62200	1692	Penhold	condo fees	fair	medium	80
138	Available	Land	164500	32900	895	Sylvan Lake	lot rent	unknown	medium	85
139	Available	Townhouse	318000	63600	1730	Lacombe	taxes	excellent	high	81
140	Watch	Condo	196500	39300	1069	Blackfalds	none	good	low	86
141	Available	Modular	250000	50000	1360	Innisfail	condo fees	fair	medium	85
142	Available	House	328500	65700	1787	Calgary Region	lot rent	unknown	medium	84
143	Available	Land	182000	36400	990	Edmonton Region	taxes	excellent	high	76
144	Available	Townhouse	335500	67100	1825	Red Deer	none	good	low	73
145	Available	Condo	214000	42800	1164	Springbrook	condo fees	fair	medium	78
146	Available	Modular	267500	53500	1455	Penhold	lot rent	unknown	medium	77
147	Available	House	346000	69200	1882	Sylvan Lake	taxes	excellent	high	76
148	Available	Land	70000	14000	381	Lacombe	none	good	low	85
149	Available	Townhouse	223500	44700	1216	Blackfalds	condo fees	fair	medium	81
150	Watch	Condo	102000	20400	555	Innisfail	lot rent	unknown	medium	86
151	Available	Modular	155500	31100	846	Calgary Region	taxes	excellent	high	85
152	Available	House	234000	46800	1273	Edmonton Region	none	good	low	84
153	Available	Land	87500	17500	476	Red Deer	condo fees	fair	medium	89
154	Available	Townhouse	241000	48200	1311	Springbrook	lot rent	unknown	medium	86
155	Available	Condo	119500	23900	650	Penhold	taxes	excellent	high	90
156	Available	Modular	173000	34600	941	Sylvan Lake	none	good	low	77
157	Available	House	251500	50300	1368	Lacombe	condo fees	fair	medium	75
158	Available	Land	105000	21000	571	Blackfalds	lot rent	unknown	medium	81
159	Available	Townhouse	258500	51700	1406	Innisfail	taxes	excellent	high	77
160	Watch	Condo	137000	27400	745	Calgary Region	none	good	low	82
